Date,Store_ID,Product_ID,Category,Units_Sold,Unit_Price,Revenue,Stock_On_Hand,Promotion_Flag
2023-01-02,S003,P011,Dairy,6,44.28,265.68,135,1
2023-01-02,S003,P019,Beverages,14,47.33,662.62,178,0
2023-01-02,S003,P014,Dairy,10,95.03,950.3,251,0
2023-01-02,S003,P016,Beverages,9,95.86,862.74,254,0
2023-01-02,S003,P018,Beverages,12,42.23,506.76,121,0
2023-01-02,S003,P012,Snacks,10,56.81,568.1,61,1
2023-01-02,S003,P013,Bakery,9,12.59,113.31,256,0
2023-01-02,S004,P009,Dairy,9,87.61,788.49,182,0
2023-01-02,S004,P013,Snacks,16,33.24,531.84,265,0
2023-01-02,S004,P005,Snacks,10,67.01,670.1,289,0
2023-01-02,S004,P008,Dairy,6,23.67,142.02,167,0
2023-01-02,S004,P001,Bakery,7,90.71,634.97,244,0
2023-01-02,S004,P004,Bakery,6,13.68,82.08,54,0
2023-01-02,S005,P013,Snacks,14,63.76,892.64,229,0
2023-01-02,S005,P004,Dairy,16,78.4,1254.4,127,0
2023-01-02,S005,P008,Beverages,4,21.98,87.92,52,1
2023-01-02,S005,P018,Snacks,12,88.05,1056.6,87,0
2023-01-02,S005,P003,Dairy,7,85.66,599.62,135,0
2023-01-02,S005,P020,Bakery,7,52.66,368.62,187,0
2023-01-02,S005,P016,Beverages,10,76.31,763.1,160,0
2023-01-02,S005,P007,Beverages,11,40.37,444.07,229,0
2023-01-02,S005,P011,Snacks,7,39.73,278.11,170,0
2023-01-02,S005,P017,Snacks,7,53.9,377.3,143,0
2023-01-02,S005,P015,Snacks,13,85.81,1115.53,180,0
2023-01-02,S005,P019,Bakery,15,92.57,1388.55,128,1
2023-01-02,S005,P002,Beverages,10,83.88,838.8,243,0
2023-01-02,S005,P014,Bakery,10,28.46,284.6,203,0
2023-01-03,S001,P014,Bakery,7,17.91,125.37,112,0
2023-01-03,S001,P018,Beverages,5,64.55,322.75,212,0
2023-01-03,S001,P009,Beverages,9,74.94,674.46,109,1
2023-01-03,S001,P008,Bakery,13,81.96,1065.48,84,0
2023-01-03,S001,P007,Beverages,7,91.71,641.97,138,1
2023-01-03,S001,P002,Beverages,12,74.24,890.88,81,0
2023-01-03,S001,P013,Snacks,10,61.97,619.7,194,1
2023-01-03,S002,P009,Dairy,13,38.05,494.65,278,0
2023-01-03,S002,P012,Beverages,8,19.96,159.68,277,0
2023-01-03,S002,P010,Bakery,9,23.49,211.41,96,0
2023-01-03,S002,P001,Beverages,12,72.46,869.52,85,0
2023-01-03,S002,P005,Dairy,8,91.76,734.08,87,0
2023-01-03,S002,P004,Dairy,6,55.53,333.18,266,0
2023-01-03,S002,P020,Bakery,11,93.02,1023.22,121,0
2023-01-03,S002,P017,Beverages,11,48.17,529.87,78,0
2023-01-03,S002,P011,Beverages,16,20.19,323.04,198,0
2023-01-03,S002,P015,Bakery,6,88.29,529.74,104,0
2023-01-03,S002,P019,Dairy,9,40.17,361.53,229,0
2023-01-03,S003,P012,Beverages,11,11.18,122.98,262,0
2023-01-03,S003,P020,Beverages,18,47.32,851.76,269,0
2023-01-03,S003,P015,Bakery,10,16.04,160.4,264,0
2023-01-03,S003,P008,Bakery,15,27.16,407.4,222,0
2023-01-03,S003,P005,Bakery,11,79.8,877.8,224,0
2023-01-03,S003,P004,Snacks,9,60.37,543.33,112,0
2023-01-03,S003,P010,Bakery,9,67.96,611.64,173,1
2023-01-03,S003,P017,Dairy,6,69.3,415.8,114,0
2023-01-03,S003,P019,Dairy,7,11.77,82.39,103,0
2023-01-03,S003,P001,Beverages,6,31.44,188.64,211,1
2023-01-03,S003,P013,Bakery,14,70.13,981.82,262,0
2023-01-03,S003,P014,Dairy,15,17.7,265.5,200,1
2023-01-03,S003,P018,Bakery,7,47.93,335.51,51,1
2023-01-03,S003,P016,Beverages,8,44.17,353.36,264,0
2023-01-03,S004,P017,Bakery,9,34.18,307.62,89,0
2023-01-03,S004,P014,Beverages,7,85.14,595.98,53,0
2023-01-03,S004,P015,Beverages,6,11.66,69.96,195,0
2023-01-03,S004,P007,Snacks,11,59.88,658.68,202,0
2023-01-03,S004,P013,Bakery,7,22.32,156.24,106,0
2023-01-03,S004,P011,Dairy,11,69.85,768.35,248,0
2023-01-03,S004,P016,Beverages,9,56.7,510.3,113,0
2023-01-03,S004,P001,Snacks,12,64.28,771.36,75,0
2023-01-03,S005,P009,Bakery,11,79.38,873.18,294,0
2023-01-03,S005,P012,Bakery,12,71.96,863.52,91,0
2023-01-03,S005,P020,Dairy,12,63.12,757.44,68,0
2023-01-03,S005,P015,Dairy,15,95.52,1432.8,104,0
2023-01-03,S005,P019,Bakery,10,75.9,759.0,198,0
2023-01-03,S005,P013,Beverages,7,29.91,209.37,203,0
2023-01-03,S005,P001,Snacks,16,61.12,977.92,299,0
2023-01-03,S005,P005,Dairy,12,93.2,1118.4,291,0
2023-01-03,S005,P010,Beverages,10,86.01,860.1,195,0
2023-01-03,S005,P014,Dairy,7,16.93,118.51,86,0
2023-01-03,S005,P016,Snacks,12,38.38,460.56,290,0
2023-01-03,S005,P018,Snacks,8,89.74,717.92,219,1
2023-01-04,S001,P014,Dairy,9,31.49,283.41,52,0
2023-01-04,S001,P009,Bakery,8,31.02,248.16,202,0
2023-01-04,S001,P006,Beverages,9,29.64,266.76,299,0
2023-01-04,S001,P015,Beverages,5,89.12,445.6,95,0
2023-01-04,S001,P012,Snacks,11,99.21,1091.31,108,0
2023-01-04,S001,P008,Beverages,11,56.14,617.54,123,0
2023-01-04,S002,P013,Snacks,12,83.42,1001.04,279,0
2023-01-04,S002,P011,Beverages,10,62.21,622.1,147,0
2023-01-04,S002,P014,Bakery,8,89.99,719.92,202,1
2023-01-04,S002,P008,Snacks,13,59.58,774.54,236,0
2023-01-04,S002,P010,Bakery,9,75.11,675.99,139,0
2023-01-04,S002,P015,Beverages,7,16.85,117.95,130,0
2023-01-04,S002,P012,Beverages,10,84.22,842.2,105,0
2023-01-04,S002,P002,Bakery,11,89.08,979.88,196,1
2023-01-04,S002,P004,Bakery,12,65.68,788.16,215,0
2023-01-04,S002,P018,Beverages,6,76.92,461.52,208,0
2023-01-04,S002,P020,Snacks,14,10.57,147.98,273,0
2023-01-04,S002,P001,Dairy,7,58.6,410.2,212,0
2023-01-04,S002,P007,Dairy,13,96.67,1256.71,112,0
2023-01-04,S003,P009,Dairy,6,12.21,73.26,188,1
2023-01-04,S003,P008,Dairy,10,71.5,715.0,75,0
2023-01-04,S003,P017,Snacks,9,81.53,733.77,206,0
2023-01-04,S003,P005,Bakery,5,68.91,344.55,76,1
2023-01-04,S003,P007,Snacks,6,94.93,569.58,257,1
2023-01-04,S003,P003,Bakery,9,98.56,887.04,50,0
2023-01-04,S003,P002,Snacks,7,12.8,89.6,74,0
2023-01-04,S003,P016,Snacks,14,97.14,1359.96,223,0
2023-01-04,S003,P014,Beverages,11,12.93,142.23,109,1
2023-01-04,S004,P008,Bakery,8,11.05,88.4,67,0
2023-01-04,S004,P003,Snacks,10,36.25,362.5,94,0
2023-01-04,S004,P002,Bakery,13,53.25,692.25,137,0
2023-01-04,S004,P016,Bakery,10,73.22,732.2,251,0
2023-01-04,S004,P005,Snacks,8,17.91,143.28,254,0
2023-01-04,S004,P010,Beverages,4,21.94,87.76,152,0
2023-01-04,S004,P017,Snacks,13,25.07,325.91,98,1
2023-01-04,S004,P019,Beverages,12,94.26,1131.12,152,0
2023-01-04,S005,P005,Beverages,6,75.23,451.38,61,0
2023-01-04,S005,P001,Beverages,10,39.61,396.1,287,0
2023-01-04,S005,P009,Bakery,14,13.93,195.02,93,0
2023-01-04,S005,P003,Snacks,11,58.82,647.02,108,0
2023-01-04,S005,P015,Snacks,9,47.66,428.94,256,0
2023-01-04,S005,P017,Bakery,9,66.59,599.31,269,0
2023-01-04,S005,P016,Bakery,10,56.26,562.6,154,0
2023-01-04,S005,P006,Beverages,9,63.8,574.2,213,0
2023-01-04,S005,P010,Snacks,9,51.92,467.28,70,0
2023-01-04,S005,P013,Dairy,13,64.17,834.21,91,0
2023-01-04,S005,P007,Snacks,10,16.22,162.2,90,0
2023-01-04,S005,P011,Bakery,9,62.15,559.35,133,0
2023-01-04,S005,P004,Snacks,11,45.91,505.01,212,0
2023-01-05,S001,P002,Bakery,9,64.5,580.5,224,0
2023-01-05,S001,P016,Beverages,9,60.23,542.07,238,0
2023-01-05,S001,P020,Snacks,16,20.99,335.84,247,0
2023-01-05,S001,P014,Dairy,8,13.74,109.92,283,0
2023-01-05,S001,P019,Snacks,18,95.66,1721.88,99,1
2023-01-05,S002,P017,Snacks,14,72.34,1012.76,104,1
2023-01-05,S002,P009,Dairy,12,65.61,787.32,185,1
2023-01-05,S002,P016,Beverages,12,29.41,352.92,257,1
2023-01-05,S002,P003,Bakery,11,69.21,761.31,291,0
2023-01-05,S002,P001,Dairy,11,89.07,979.77,174,0
2023-01-05,S002,P005,Bakery,9,20.82,187.38,103,0
2023-01-05,S002,P019,Beverages,8,45.66,365.28,198,0
2023-01-05,S002,P008,Beverages,9,43.59,392.31,221,0
2023-01-05,S002,P014,Dairy,11,65.75,723.25,223,0
2023-01-05,S002,P010,Beverages,14,53.13,743.82,166,1
2023-01-05,S002,P002,Beverages,9,62.22,559.98,93,0
2023-01-05,S003,P002,Bakery,16,19.13,306.08,174,0
2023-01-05,S003,P020,Beverages,8,82.27,658.16,84,0
2023-01-05,S003,P009,Snacks,11,34.54,379.94,181,1
2023-01-05,S003,P003,Snacks,7,26.33,184.31,190,0
2023-01-05,S003,P008,Dairy,5,33.09,165.45,85,0
2023-01-05,S003,P001,Snacks,13,13.91,180.83,155,0
2023-01-05,S003,P010,Beverages,11,89.58,985.38,186,0
2023-01-05,S003,P004,Dairy,11,85.59,941.49,121,0
2023-01-05,S003,P019,Beverages,7,34.73,243.11,68,1
2023-01-05,S003,P017,Dairy,12,66.15,793.8,274,0
2023-01-05,S003,P015,Beverages,14,18.61,260.54,225,0
2023-01-05,S004,P004,Beverages,6,75.19,451.14,91,1
2023-01-05,S004,P006,Beverages,4,90.48,361.92,180,0
2023-01-05,S004,P001,Beverages,7,16.25,113.75,98,1
2023-01-05,S004,P008,Bakery,13,58.6,761.8,279,0
2023-01-05,S004,P012,Dairy,10,39.97,399.7,119,0
2023-01-05,S004,P018,Bakery,12,75.76,909.12,79,0
2023-01-05,S004,P019,Snacks,7,18.7,130.9,170,1
2023-01-05,S005,P011,Bakery,11,77.97,857.67,210,0
2023-01-05,S005,P009,Bakery,8,17.89,143.12,268,0
2023-01-05,S005,P002,Beverages,8,50.25,402.0,245,1
2023-01-05,S005,P010,Snacks,15,99.29,1489.35,150,0
2023-01-05,S005,P001,Bakery,16,83.57,1337.12,84,0
2023-01-06,S001,P008,Snacks,6,93.05,558.3,63,0
2023-01-06,S001,P001,Bakery,13,55.23,717.99,218,1
2023-01-06,S001,P012,Beverages,9,12.32,110.88,74,0
2023-01-06,S001,P017,Beverages,9,55.55,499.95,195,0
2023-01-06,S001,P015,Dairy,11,65.76,723.36,109,0
2023-01-06,S001,P019,Dairy,10,99.54,995.4,208,0
2023-01-06,S001,P013,Beverages,9,16.72,150.48,205,0
2023-01-06,S001,P011,Dairy,11,30.6,336.6,150,0
2023-01-06,S001,P010,Bakery,6,86.32,517.92,227,0
2023-01-06,S001,P002,Bakery,9,41.88,376.92,204,0
2023-01-06,S001,P018,Snacks,6,96.74,580.44,232,0
2023-01-06,S001,P005,Dairy,9,62.39,561.51,264,0
2023-01-06,S001,P009,Dairy,11,85.09,935.99,286,1
2023-01-06,S001,P020,Snacks,4,43.43,173.72,290,0
2023-01-06,S002,P013,Beverages,16,16.88,270.08,146,1
2023-01-06,S002,P014,Snacks,13,44.77,582.01,263,0
2023-01-06,S002,P007,Dairy,15,89.42,1341.3,118,0
2023-01-06,S002,P011,Beverages,9,13.42,120.78,136,0
2023-01-06,S002,P010,Beverages,13,13.2,171.6,197,0
2023-01-06,S002,P001,Snacks,13,47.09,612.17,54,0
2023-01-06,S002,P017,Bakery,4,17.44,69.76,161,1
2023-01-06,S002,P015,Dairy,13,97.84,1271.92,256,0
2023-01-06,S002,P005,Beverages,7,16.23,113.61,266,0
2023-01-06,S003,P014,Bakery,9,34.64,311.76,261,0
2023-01-06,S003,P007,Bakery,10,99.32,993.2,171,1
2023-01-06,S003,P003,Dairy,14,58.96,825.44,198,0
2023-01-06,S003,P019,Beverages,10,14.85,148.5,135,0
2023-01-06,S003,P015,Beverages,16,24.83,397.28,78,0
2023-01-06,S003,P009,Bakery,13,55.53,721.89,137,0
2023-01-06,S004,P012,Bakery,5,82.01,410.05,284,0
2023-01-06,S004,P010,Beverages,12,26.92,323.04,218,0
2023-01-06,S004,P014,Beverages,10,78.49,784.9,103,1
2023-01-06,S004,P016,Snacks,9,23.4,210.6,296,0
2023-01-06,S004,P004,Dairy,9,89.76,807.84,276,0
2023-01-06,S004,P018,Snacks,9,10.29,92.61,87,0
2023-01-06,S004,P020,Bakery,13,62.94,818.22,53,0
2023-01-06,S004,P002,Dairy,4,60.53,242.12,181,0
2023-01-06,S004,P008,Bakery,8,54.84,438.72,159,0
2023-01-06,S004,P019,Bakery,8,73.69,589.52,208,1
2023-01-06,S005,P014,Dairy,9,44.54,400.86,186,1
2023-01-06,S005,P010,Beverages,7,40.11,280.77,254,0
2023-01-06,S005,P003,Snacks,14,56.63,792.82,158,0
2023-01-06,S005,P008,Dairy,7,88.55,619.85,142,0
2023-01-06,S005,P019,Bakery,13,53.47,695.11,119,0
2023-01-06,S005,P020,Snacks,12,49.32,591.84,106,0
2023-01-06,S005,P012,Beverages,6,22.18,133.08,80,1
2023-01-07,S001,P015,Snacks,15,57.92,868.8,210,0
2023-01-07,S001,P002,Snacks,15,69.74,1046.1,197,0
2023-01-07,S001,P016,Bakery,16,47.69,763.04,177,0
2023-01-07,S001,P013,Beverages,11,60.88,669.68,196,0
2023-01-07,S001,P001,Beverages,11,20.27,222.97,227,0
2023-01-07,S001,P020,Dairy,11,20.33,223.63,147,0
2023-01-07,S001,P011,Dairy,10,51.25,512.5,114,0
2023-01-07,S001,P005,Beverages,12,47.06,564.72,174,0
2023-01-07,S001,P009,Bakery,4,82.58,330.32,187,1
2023-01-07,S001,P014,Dairy,13,33.28,432.64,69,0
2023-01-07,S001,P006,Bakery,13,28.44,369.72,262,0
2023-01-07,S001,P018,Bakery,14,50.61,708.54,107,0
2023-01-07,S001,P008,Beverages,10,58.48,584.8,293,0
2023-01-07,S002,P006,Snacks,10,72.63,726.3,61,0
2023-01-07,S002,P002,Bakery,6,26.58,159.48,150,0
2023-01-07,S002,P013,Bakery,6,65.38,392.28,295,1
2023-01-07,S002,P016,Beverages,13,97.04,1261.52,112,0
2023-01-07,S002,P001,Beverages,12,24.94,299.28,151,1
2023-01-07,S002,P007,Dairy,6,60.38,362.28,146,0
2023-01-07,S002,P017,Bakery,15,75.83,1137.45,238,0
2023-01-07,S002,P004,Beverages,13,73.92,960.96,221,1
2023-01-07,S002,P009,Snacks,13,42.2,548.6,275,1
2023-01-07,S002,P015,Bakery,8,74.08,592.64,297,0
2023-01-07,S002,P014,Beverages,7,41.31,289.17,224,0
2023-01-07,S003,P008,Dairy,8,72.47,579.76,202,0
2023-01-07,S003,P009,Dairy,7,37.36,261.52,95,0
2023-01-07,S003,P018,Bakery,13,33.43,434.59,274,1
2023-01-07,S003,P007,Dairy,11,50.23,552.53,87,0
2023-01-07,S003,P019,Beverages,10,97.91,979.1,127,0
2023-01-07,S003,P006,Beverages,15,87.25,1308.75,132,1
2023-01-07,S003,P015,Dairy,12,84.65,1015.8,68,1
2023-01-07,S003,P013,Snacks,7,16.15,113.05,258,0
2023-01-07,S003,P010,Bakery,11,84.21,926.31,102,0
2023-01-07,S003,P002,Dairy,12,15.8,189.6,269,1
2023-01-07,S003,P004,Beverages,8,99.01,792.08,232,0
2023-01-07,S003,P001,Snacks,13,62.45,811.85,113,0
2023-01-07,S003,P003,Beverages,10,84.82,848.2,244,0
2023-01-07,S004,P005,Bakery,17,80.99,1376.83,228,0
2023-01-07,S004,P010,Dairy,6,80.81,484.86,116,0
2023-01-07,S004,P011,Snacks,8,98.55,788.4,121,0
2023-01-07,S004,P015,Snacks,15,13.58,203.7,55,0
2023-01-07,S004,P017,Bakery,7,50.54,353.78,158,0
2023-01-07,S004,P013,Bakery,10,52.69,526.9,226,0
2023-01-07,S004,P019,Snacks,14,85.0,1190.0,197,0
2023-01-07,S004,P018,Snacks,10,29.67,296.7,155,0
2023-01-07,S004,P006,Snacks,8,35.61,284.88,66,0
2023-01-07,S005,P019,Beverages,13,67.28,874.64,136,0
2023-01-07,S005,P002,Dairy,4,71.79,287.16,243,0
2023-01-07,S005,P012,Beverages,10,20.89,208.9,205,0
2023-01-07,S005,P010,Beverages,4,41.93,167.72,216,0
2023-01-07,S005,P006,Beverages,12,63.43,761.16,59,0
2023-01-07,S005,P018,Dairy,15,88.63,1329.45,133,0
2023-01-07,S005,P005,Beverages,15,58.06,870.9,89,1
2023-01-08,S001,P019,Snacks,9,58.83,529.47,279,0
2023-01-08,S001,P020,Bakery,7,50.51,353.57,221,1
2023-01-08,S001,P002,Dairy,10,24.91,249.1,56,0
2023-01-08,S001,P014,Bakery,8,44.1,352.8,212,0
2023-01-08,S001,P004,Dairy,13,19.11,248.43,113,0
2023-01-08,S001,P006,Snacks,14,60.37,845.18,80,0
2023-01-08,S001,P018,Beverages,20,97.97,1959.4,116,1
2023-01-08,S001,P008,Bakery,5,93.31,466.55,268,0
2023-01-08,S001,P016,Snacks,8,53.91,431.28,219,1
2023-01-08,S001,P009,Beverages,9,52.66,473.94,183,0
2023-01-08,S001,P017,Bakery,10,64.62,646.2,175,0
2023-01-08,S001,P015,Beverages,10,32.22,322.2,136,0
2023-01-08,S001,P005,Snacks,13,25.95,337.35,134,0
2023-01-08,S002,P006,Bakery,11,45.56,501.16,77,1
2023-01-08,S002,P018,Beverages,10,96.76,967.6,166,0
2023-01-08,S002,P013,Snacks,10,21.76,217.6,188,0
2023-01-08,S002,P019,Beverages,13,88.94,1156.22,61,1
2023-01-08,S002,P010,Dairy,10,62.99,629.9,299,0
2023-01-08,S002,P009,Dairy,7,44.79,313.53,252,1
2023-01-08,S002,P015,Dairy,13,61.62,801.06,158,0
2023-01-08,S002,P005,Dairy,9,90.38,813.42,196,0
2023-01-08,S002,P014,Dairy,9,66.39,597.51,80,0
2023-01-08,S003,P007,Snacks,13,11.29,146.77,114,0
2023-01-08,S003,P004,Beverages,12,77.81,933.72,182,1
2023-01-08,S003,P013,Beverages,11,53.89,592.79,223,0
2023-01-08,S003,P015,Bakery,9,41.39,372.51,52,0
2023-01-08,S003,P020,Beverages,17,95.96,1631.32,172,1
2023-01-08,S003,P001,Snacks,4,81.51,326.04,193,0
2023-01-08,S004,P018,Beverages,11,68.3,751.3,263,0
2023-01-08,S004,P004,Dairy,10,62.73,627.3,249,0
2023-01-08,S004,P017,Bakery,12,74.26,891.12,293,0
2023-01-08,S004,P012,Dairy,10,22.86,228.6,264,0
2023-01-08,S004,P010,Bakery,10,22.04,220.4,147,0
2023-01-08,S004,P001,Beverages,12,10.01,120.12,299,0
2023-01-08,S005,P014,Dairy,9,43.96,395.64,253,0
2023-01-08,S005,P015,Beverages,12,44.89,538.68,268,1
2023-01-08,S005,P004,Dairy,12,96.94,1163.28,157,0
2023-01-08,S005,P002,Bakery,12,19.48,233.76,260,0
2023-01-08,S005,P007,Beverages,3,96.11,288.33,77,1
2023-01-08,S005,P010,Dairy,10,43.18,431.8,285,0
2023-01-09,S001,P014,Snacks,9,21.32,191.88,52,0
2023-01-09,S001,P012,Bakery,10,17.68,176.8,284,0
2023-01-09,S001,P007,Beverages,10,71.92,719.2,62,0
2023-01-09,S001,P003,Bakery,17,76.26,1296.42,151,0
2023-01-09,S001,P017,Snacks,8,88.99,711.92,171,0
2023-01-09,S001,P015,Snacks,13,34.05,442.65,258,0
2023-01-09,S001,P001,Snacks,14,16.87,236.18,224,1
2023-01-09,S001,P010,Snacks,7,39.89,279.23,202,0
2023-01-09,S001,P008,Snacks,7,61.36,429.52,257,0
2023-01-09,S001,P011,Bakery,10,70.8,708.0,209,1
2023-01-09,S001,P006,Beverages,11,28.64,315.04,108,0
2023-01-09,S002,P006,Bakery,4,30.28,121.12,285,0
2023-01-09,S002,P020,Beverages,11,62.05,682.55,60,1
2023-01-09,S002,P003,Bakery,11,70.67,777.37,284,1
2023-01-09,S002,P018,Dairy,15,52.3,784.5,96,0
2023-01-09,S002,P011,Snacks,4,10.71,42.84,101,0
2023-01-09,S002,P005,Bakery,10,55.05,550.5,70,1
2023-01-09,S002,P014,Snacks,8,51.37,410.96,251,0
2023-01-09,S003,P017,Snacks,11,49.33,542.63,68,0
2023-01-09,S003,P015,Snacks,7,91.71,641.97,147,0
2023-01-09,S003,P010,Dairy,13,52.92,687.96,145,0
2023-01-09,S003,P005,Snacks,11,24.64,271.04,137,0
2023-01-09,S003,P007,Beverages,10,10.81,108.1,150,0
2023-01-09,S003,P003,Bakery,7,29.99,209.93,153,1
2023-01-09,S003,P004,Bakery,13,32.12,417.56,142,0
2023-01-09,S004,P018,Snacks,9,32.59,293.31,261,0
2023-01-09,S004,P015,Snacks,11,27.24,299.64,158,1
2023-01-09,S004,P008,Dairy,10,13.5,135.0,171,1
2023-01-09,S004,P012,Snacks,14,95.54,1337.56,246,0
2023-01-09,S004,P014,Bakery,11,78.29,861.19,196,0
2023-01-09,S004,P011,Dairy,15,80.23,1203.45,155,1
2023-01-09,S004,P006,Snacks,7,26.75,187.25,196,0
2023-01-09,S004,P005,Snacks,7,16.21,113.47,64,1
2023-01-09,S004,P010,Beverages,9,85.22,766.98,238,0
2023-01-09,S004,P020,Beverages,13,23.64,307.32,234,0
2023-01-09,S004,P003,Beverages,8,13.38,107.04,230,0
2023-01-09,S004,P017,Beverages,11,42.6,468.6,106,1
2023-01-09,S004,P007,Dairy,7,49.37,345.59,177,0
2023-01-09,S004,P013,Dairy,7,75.86,531.02,213,0
2023-01-09,S005,P015,Dairy,9,11.86,106.74,211,0
2023-01-09,S005,P002,Beverages,8,53.37,426.96,66,0
2023-01-09,S005,P001,Bakery,11,60.41,664.51,290,0
2023-01-09,S005,P010,Beverages,9,26.22,235.98,216,0
2023-01-09,S005,P020,Beverages,6,86.54,519.24,106,0
2023-01-09,S005,P019,Dairy,3,29.21,87.63,133,1
2023-01-09,S005,P012,Dairy,12,59.44,713.28,130,0
2023-01-09,S005,P008,Dairy,10,91.59,915.9,162,0
2023-01-09,S005,P007,Bakery,6,65.43,392.58,211,0
2023-01-10,S001,P002,Snacks,13,66.25,861.25,51,1
2023-01-10,S001,P013,Dairy,10,38.16,381.6,168,0
2023-01-10,S001,P009,Bakery,7,26.82,187.74,61,0
2023-01-10,S001,P004,Dairy,7,94.15,659.05,54,0
2023-01-10,S001,P007,Snacks,11,42.03,462.33,99,0
2023-01-10,S001,P015,Dairy,12,28.49,341.88,216,1
2023-01-10,S001,P010,Beverages,13,99.13,1288.69,73,0
